5683,6459,-
6529,7959,-
9928,10494,-
10643,11356,-
11382,11786,-
16751,16960,-
16751,16903,-
19811,20314,-
20233,20508,-
20815,21078,-
34781,35371,-
35377,36162,-
36271,37824,-
37898,39115,-
39244,40386,-
40417,41931,-
50380,51222,-
51229,51606,-
51609,52430,-
52427,53416,-
53416,54702,-
54755,57109,-
59687,60346,-
60358,63264,-
63429,65780,-
65855,66550,-
66835,68337,-
68348,70048,-
72229,72927,-
72911,74521,-
74497,75480,-
75644,77299,-
78848,79453,-
79464,80864,-
80867,81958,-
81958,83529,-
83622,83708,-
111649,111846,-
111856,112599,-
112599,113219,-
114522,115724,-
115714,117099,-
117109,117549,-
117752,118645,-
120178,121551,-
129407,131260,-
134788,135582,-
135598,136464,-
136570,136917,-
138835,141225,-
142008,142670,-
146314,146694,-
147944,148795,-
148807,149601,-
149715,150953,-
151003,151599,-
151626,152231,-
152243,152812,-
152829,155426,-
155461,156201,-
156299,156883,-
157253,157732,-
157729,159126,-
159186,160112,-
160149,160604,-
160782,161486,-
161501,162031,-
173602,174882,-
177001,177624,-
177662,178462,-
178455,179153,-
183709,184095,-
184257,185069,-
185123,185947,-
185978,188650,-
188712,189506,-
213678,213932,-
213925,214125,-
216179,217003,-
217057,218775,-
218887,219594,-
219591,219995,-
220113,220928,-
220968,221621,-
221614,222645,-
229967,230881,-
232597,233955,-
234027,234782,-
235535,236002,-
238257,238736,-
238746,239102,-
239419,240189,-
240859,243303,-
245065,245805,-
245961,246239,-
246242,246502,-
248358,250070,-
254259,255716,-
258269,259324,-
262374,262436,-
262552,262893,-
262914,263231,-
263250,263471,-
263480,263956,-
263972,264430,-
264528,264767,-
264844,265311,-
265334,265777,-
265777,265998,-
266000,266191,-
266408,267229,-
267321,268184,-
268513,269406,-
273325,274341,-
276980,278026,-
278038,278385,-
278402,278905,-
278824,279099,-
279338,279586,-
279651,279959,-
280053,281207,-
287628,288386,-
288525,289529,-
289873,290376,-
290295,290570,-
291546,292172,-
292444,293142,-
293169,294023,-
294363,294803,-
294920,296320,-
296605,296943,-
296938,297015,-
296994,297950,-
297960,300158,-
300155,301111,-
301108,301797,-
303077,303406,-
303719,304429,-
304398,306041,-
306031,308556,-
308582,309250,-
309308,309895,-
309970,310560,-
311598,311738,-
311738,312001,-
312365,312466,-
312940,313029,-
315710,316393,-
316950,317543,-
317555,317791,-
317900,319225,-
323920,324588,-
324801,326471,-
326485,327957,-
327971,328558,-
332725,333657,-
333749,334246,-
344890,345561,-
346081,347667,-
357015,357914,-
360473,361084,-
361150,362403,-
362455,365529,-
365652,366734,-
366811,367644,-
376759,377592,-
377686,378795,-
378830,379105,-
379293,380066,-
380068,380483,-
381963,383159,-
383283,383840,-
387977,388951,-
390963,391829,-
391826,392125,-
394354,395511,-
398249,398557,-
399053,400147,-
404059,404868,-
408332,409243,-
410521,411705,-
411831,414977,-
414974,416176,-
423561,424142,-
430353,431237,-
431536,432075,-
